poseId, timestamp, T00, T01, T02, T03, T10, T11, T12, T13, T20, T21, T22, T23, T30, T31, T32, T33
1669301098_821208320, 1669301098.821208, 0.811008, -0.584828, 0.015551, 53.388566, 0.584985, 0.810999, -0.008523, -9.551796, -0.007627, 0.016009, 0.999843, -0.109573, 0.000000, 0.000000, 0.000000, 1.000000
1669301105_721414656, 1669301105.721415, 0.812257, -0.583058, 0.016766, 52.398974, 0.583232, 0.812265, -0.008103, -9.374301, -0.008894, 0.016361, 0.999827, -0.093609, 0.000000, 0.000000, 0.000000, 1.000000
1669301108_420680192, 1669301108.420680, 0.813799, -0.581108, 0.006729, 51.388925, 0.581142, 0.813784, -0.005414, -9.188003, -0.002330, 0.008316, 0.999963, -0.073821, 0.000000, 0.000000, 0.000000, 1.000000
1669301116_321245952, 1669301116.321246, 0.815645, -0.578479, 0.009261, 50.400778, 0.578540, 0.815629, -0.006396, -9.006414, -0.003854, 0.010575, 0.999937, -0.061680, 0.000000, 0.000000, 0.000000, 1.000000
1669301118_921615616, 1669301118.921616, 0.783388, -0.621517, 0.004461, 49.406405, 0.621532, 0.783378, -0.004044, -8.849987, -0.000982, 0.005941, 0.999982, -0.049180, 0.000000, 0.000000, 0.000000, 1.000000
1669301125_720931328, 1669301125.720931, 0.829116, -0.558979, 0.010469, 48.402949, 0.559058, 0.829098, -0.007186, -8.686609, -0.004663, 0.011810, 0.999919, -0.037747, 0.000000, 0.000000, 0.000000, 1.000000
1669301129_721677312, 1669301129.721677, 0.828511, -0.559959, 0.003915, 47.405224, 0.559972, 0.828473, -0.007983, -8.478179, 0.001227, 0.008806, 0.999960, -0.021704, 0.000000, 0.000000, 0.000000, 1.000000
1669301137_822118912, 1669301137.822119, 0.813475, -0.581502, 0.010677, 46.423537, 0.581587, 0.813441, -0.008416, -8.280358, -0.003791, 0.013056, 0.999908, -0.004478, 0.000000, 0.000000, 0.000000, 1.000000
1669301141_122605824, 1669301141.122606, 0.779894, -0.625832, 0.009974, 45.395032, 0.625905, 0.779860, -0.007793, -8.148422, -0.002901, 0.012320, 0.999920, 0.016754, 0.000000, 0.000000, 0.000000, 1.000000
1669301148_22972416, 1669301148.022972, 0.800630, -0.598984, 0.014513, 44.400507, 0.599093, 0.800667, -0.004463, -7.961709, -0.008947, 0.012268, 0.999885, 0.030272, 0.000000, 0.000000, 0.000000, 1.000000
1669301223_528412928, 1669301223.528413, 0.792729, -0.609524, 0.007831, 43.374955, 0.609563, 0.792727, -0.004174, -7.807451, -0.003663, 0.008082, 0.999961, 0.036537, 0.000000, 0.000000, 0.000000, 1.000000
1669301225_528311296, 1669301225.528311, 0.793132, -0.609005, 0.007393, 42.382789, 0.609047, 0.793111, -0.006108, -7.662864, -0.002144, 0.009347, 0.999954, 0.056390, 0.000000, 0.000000, 0.000000, 1.000000
1669301232_928971776, 1669301232.928972, 0.793327, -0.608623, 0.014510, 41.372526, 0.608700, 0.793400, -0.001166, -7.512673, -0.010802, 0.009757, 0.999894, 0.071443, 0.000000, 0.000000, 0.000000, 1.000000
1669301235_629853440, 1669301235.629853, 0.819819, -0.572487, 0.012430, 40.350265, 0.572562, 0.819855, -0.003292, -7.341710, -0.008306, 0.009816, 0.999917, 0.089179, 0.000000, 0.000000, 0.000000, 1.000000
1669301242_428756480, 1669301242.428756, 0.822439, -0.568760, 0.010307, 39.355340, 0.568812, 0.822463, -0.002849, -7.145878, -0.006857, 0.008206, 0.999943, 0.103070, 0.000000, 0.000000, 0.000000, 1.000000
1669301245_228772864, 1669301245.228773, 0.825305, -0.564587, 0.010627, 38.362981, 0.564667, 0.825288, -0.007066, -6.944163, -0.004781, 0.011833, 0.999919, 0.117408, 0.000000, 0.000000, 0.000000, 1.000000
